id,name,description
7,bacen,tag bacen
14,Compras,Tags Compras
12,DEMAS,TAG DEMAS
8,inpe,tag inpe
5,ipea,tag ipea
17,Camara,Tag Camara Deputados
13,Open Data Sus,Tag Open Data Sus
15,PNPC,Tags PNPC
16,SALIC,Tags SALIC
9,Tesouro Nacional,Tag Tesouro Nacional
10,"SADIPEM ","tag SADIPEM "
11,SICONFI,Tag SICONFI
2,ibge,Tag ibge
3,agregados,Dados agregados
4,ans,Tag ans
1,cadprev,Tag cadprev
