id,api_id,tag_id
7,6,7
17,13,14
15,11,12
9,7,8
5,4,5
8,5,5
20,16,17
16,12,13
18,14,15
19,15,16
10,8,9
11,9,9
12,9,10
13,10,11
14,10,9
2,2,2
3,2,3
4,3,4
1,1,1
